name,category,UI,speed,dev,joy,Windows,Darwin,Debian,windows_message,darwin_message,debian_mssage,positive_rule,negative_rule,citation,location,config_file
Setup_script,base,CUI,1,?,,s:setting_windows,s:setting_darwin,s:setting_debian,,,,,,,,
git,D-tool,Both,2,?,,https://api.github.com/repos/git-for-windows/git/releases,git,git,,,,,"mingit, portable",,,
Env-tools,base,CUI,2,?,,s:GodMode,s:gnu_darwin,s:gnu_setup,,,,,,,,
Google-Chrome,browser,GUI,2,,?,http://dl.google.com/chrome/install/latest/chrome_installer.exe,?,http://dl.google.com/chrome/install/latest/chrome_installer.deb,,,,,,,,
Keyboard,Env,GUI,2,,?,https://www.autohotkey.com/download/ahk-install.exe,c:Karabiner-elements,,,,,,,,,
rapidEE,Env,GUI,2,?,,https://www.rapidee.com/download/RapidEE_setup.exe,,,,,,,,,,
ruby,P-lang,CUI,2,?,,ruby,?,?,,,,,,,,
skk,Env,GUI,2,?,?,https://api.github.com/repos/nathancorvussolis/corvusskk/releases,c:AquaSKK,ibus-skkskkdic ibus-mozc,,,,,,,,
VS-Code,editor,GUI,2,?,,https://aka.ms/win32-x64-user-stable,c:visual-studio-code ,?,,,,,,,,
7zip,Media,Both,3,?,?,https://www.7-zip.org/a/7z1900-x64.msi,?,p7zip-full,not latest,,,,,,,
cica,font,Both,3,?,,https://api.github.com/repos/miiton/Cica/releases,https://api.github.com/repos/miiton/Cica/releases,https://api.github.com/repos/miiton/Cica/releases,,,,with_emoji,,,,
cpp,P-lang,CUI,3,?,,https://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=Community,?,?,,,,,,,,
golang,P-lang,CUI,3,?,,golang,?,?,,,,,,,,
GVim,editor,GUI,3,?,,https://api.github.com/repos/koron/vim-kaoriya/releases/latest,c:MacVim,Vim-gnome,,,,,,,tools,
IPA,font,Both,3,?,,https://ipafont.ipa.go.jp/IPAexfont/IPAexfont00401.zip,https://ipafont.ipa.go.jp/IPAexfont/IPAexfont00401.zip,fonts-ipafont fonts-ipaexfont,,,,,,,,
python3,P-lang,CUI,3,?,,https://www.python.org/ftp/python/3.8.5/python-3.8.5-amd64.exe,Python,python3 python3-dev python3-pip,ver 3.8.5,,,,,,,
Shells,Env,CUI,3,?,,https://repo.msys2.org/distrib/x86_64/msys2-x86_64-20200720.exe,fish,fish,not latest,,,,,,,
ssh,D-tool,CUI,3,?,,,,ssh-server,,,,,,,,
Sync,Media,GUI,3,,?,https://www.sync.com/download/win/sync-installer.exe,c:Sync,?,,,,,,,,
Terminals,Env,GUI,3,?,,,Alacritty,s:Alacritty_debian,WindowsTerminal is good,,,,,,,
Docker,D-tool,Both,4,?,,https://download.docker.com/win/stable/Docker%20Desktop%20Installer.exe,https://download.docker.com/mac/stable/Docker.dmg,?,,,,,,,,
Everything,Tool,GUI,4,,?,https://www.voidtools.com/Everything-1.4.1.988.x64-Setup.exe,,,not latest,,,,,,,
gitkraken,D-tool,GUI,4,?,,https://release.gitkraken.com/win64/GitKrakenSetup.exe,https://release.gitkraken.com/darwin/installGitKraken.dmg,https://release.gitkraken.com/linux/gitkraken-amd64.deb,,,,,,,,
NodeJS,P-lang,CUI,4,?,?,NodeJS-LTS,Node,NodeJS,,,,,,,,
perl,P-lang,CUI,4,?,,strawberryperl,?,?,,,,,,,,
rust,P-lang,CUI,4,?,,https://static.rust-lang.org/rustup/dist/x86_64-pc-windows-msvc/rustup-init.exe,?,?,,,,,,,,
sudo,D-tool,CUI,4,?,,sudo,,,,,,,,,,
torrent,Media,GUI,4,,?,qBittorrent,?,?,,,,,,,,
anaconda,P-lang,CUI,5,?,,anaconda,?,?,,,,,,,,
Haskell,P-lang,CUI,5,?,,haskell-dev,?,?,,,,,,,,
Magnet,Tool,GUI,5,,?,?,?,M:441258766#Magnet,,,,,,,,
slack,Tool,GUI,5,,?,https://slack.com/ssb/download-win64,M:803453959#Slack,https://slack.com/downloads/linux,,,,,,,,
Cleaner,Tool,GUI,6,,?,https://download.ccleaner.com/ccsetup570.exe,c:AppCleaner,,not latest,,,,,,,
Amphetamine,Tool,GUI,7,,?,,M:937984704#Amphetamine,,,,,,,,,
Aria2,D-tool,CUI,7,?,,,Aria2,Aria2,,,,,,,,
Chromium,browser,GUI,7,?,?,https://api.github.com/repos/Hibbiki/chromium-win64/releases/latest,?,s:chromium_debian,,,,,,,,
controller,Media,GUI,7,,?,https://api.github.com/repos/AntiMicro/antimicro/releases,c:enjoyable,,,,,,,,,
cURL,D-tool,CUI,7,?,,,cURL,cURL,,,,,,,,
discord,Tool,GUI,7,,?,https://discord.com/api/download?platform=win,?,?,,,,,,,,
Firefox,browser,GUI,7,,?,https://download.mozilla.org/?product=firefox-latest-ssl&os=win64&lang=en-US,https://download.mozilla.org/?product=firefox-latest-ssl&os=osx&lang=en-US,,,,,,,,,
Fluid,Env,GUI,7,,?,,c:Fluid,,,,,,,,,
jdk8,D-tool,CUI,7,?,,JDK8 JRE8,c:Java,?,,,,,,,,
Kindle,Media,GUI,7,,?,https://www.amazon.com/kindlepcdownload/ref=s9_acss_bw_cg_3PLP1_3d1_w?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=4YWXKBN2KRMJPZSVA7AE&pf_rd_t=101&pf_rd_p=072f4863-773b-4f2b-b8ab-301e30c7b7dd&pf_rd_i=16571048011,M:405399194#kindle,,not latest,,,,,,,
lancher,Tool,GUI,7,,?,https://api.github.com/repos/Wox-launcher/Wox/releases,M:405843582#Alferd,s:Albert,,,,,,,,
mailspring,Media,GUI,7,,?,https://updates.getmailspring.com/download?platform=win32,https://updates.getmailspring.com/download?platform=darwin,https://updates.getmailspring.com/download?platform=linuxDeb,,,,,,,,
Noto,font,Both,7,?,,https://noto-website-2.storage.googleapis.com/pkgs/Noto-unhinted.zip,https://noto-website-2.storage.googleapis.com/pkgs/Noto-unhinted.zip,,,,,,,,,
pandoc,D-tool,CUI,7,?,,https://api.github.com/repos/jgm/pandoc/releases/latest,Pandoc,Pandoc,,,,,,,,
pdf-reader,Media,GUI,7,,?,https://www.sumatrapdfreader.org/dl2/SumatraPDF-3.2-64-install.exe,?,Evince,not latest,,,,,,,
peco,D-tool,CUI,7,?,,,peco,peco,,,,,,,,
rigrep,D-tool,CUI,7,?,,,ripgrep,ripgrep,,,,,,,,
spotify,Media,GUI,7,,?,https://download.scdn.co/SpotifySetup.exe,?,?,,,,,,,,
TheUnarchiver,Media,GUI,7,?,?,,M:425424353#TheUnarchiver,,,,,,,,,
tmux,D-tool,CUI,7,?,,,tmux,tmux,,,,,,,,
Virtualbox,Tool,GUI,7,?,,virtualbox,?,?,,,,,,,,
vivaldi,browser,GUI,7,,?,https://downloads.vivaldi.com/stable/Vivaldi.3.2.1967.47.exe,?,s:vivaldi_debian,not latest,,,,,https://gist.github.com/ruario/dcbba70da900dac68fcc883542ff7ace,,
VLC,Media,GUI,7,,?,https://api.github.com/repos/videolan/vlc/releases,c:VLC,VLC,,,,,,,,
Wget,D-tool,CUI,7,?,,,Wget,Wget,,,,,,,,
